name,slug,topic_type,aliases,parent_slugs,extensions,rss_feed_url,rss_feed_title,notes
Artificial Intelligence,artificial-intelligence,topic,AI,,,,,Top-level vertical
Machine Learning,machine-learning,topic,ML,artificial-intelligence,,,,
Deep Learning,deep-learning,topic,DL,machine-learning,,,,
Large Language Models,large-language-models,topic,LLMs|LLM,artificial-intelligence,,,,
Natural Language Processing,natural-language-processing,topic,NLP,artificial-intelligence,,,,
Computer Vision,computer-vision,topic,CV,artificial-intelligence,,,,
Generative AI,generative-ai,topic,GenAI|Gen AI,artificial-intelligence,,,,
AI Agents,ai-agents,topic,Agentic AI,artificial-intelligence,,,,
AI Safety,ai-safety,topic,AI Alignment,artificial-intelligence,,,,
AI Ethics,ai-ethics,topic,,artificial-intelligence,,,,
Prompt Engineering,prompt-engineering,topic,,artificial-intelligence,,,,
Reinforcement Learning,reinforcement-learning,topic,RL,machine-learning,,,,
AI Coding,ai-coding,topic,AI Code Assistants|AI Programming,artificial-intelligence,,,,
AI Image Generation,ai-image-generation,topic,AI Art|AI Images,generative-ai,,,,
AI Video Generation,ai-video-generation,topic,AI Video,generative-ai,,,,
Robotics,robotics,topic,,artificial-intelligence,,,,
Autonomous Driving,autonomous-driving,topic,Self-Driving|Self-Driving Cars,artificial-intelligence,,,,Cross-ref: cars vertical
AI Search,ai-search,topic,AI-Powered Search,artificial-intelligence,,,,
AI Music Generation,ai-music-generation,topic,AI Music,generative-ai,,,,
Multimodal AI,multimodal-ai,topic,Multimodal Models,artificial-intelligence,,,,
Retrieval-Augmented Generation,retrieval-augmented-generation,topic,RAG,large-language-models,,,,
Fine-tuning,fine-tuning,topic,Model Fine-tuning|RLHF,large-language-models,,,,
AI Orchestration,ai-orchestration,topic,AI Frameworks|LLM Orchestration,artificial-intelligence,,,,
Text-to-Speech,text-to-speech,topic,TTS|AI Voice,generative-ai,,,,
Speech Recognition,speech-recognition,topic,ASR|Speech-to-Text|STT,artificial-intelligence,,,,
OpenAI Blog,openai-blog-openai-com-news-rss-xml,rss_feed,Open AI,artificial-intelligence,,https://openai.com/news/rss.xml,OpenAI Blog,
Anthropic,anthropic,topic,Anthropic Blog,artificial-intelligence,,,,
Google DeepMind Blog,google-deepmind-blog-deepmind-google-blog-rss-xml,rss_feed,DeepMind,artificial-intelligence,,https://deepmind.google/blog/rss.xml,Google DeepMind Blog,
Meta AI,meta-ai,topic,FAIR|Facebook AI Research|Meta AI Blog,artificial-intelligence,,,,
xAI,xai,topic,xAI Blog,artificial-intelligence,,,,
Stability AI,stability-ai,topic,Stability AI News,ai-image-generation,,,,
Perplexity,perplexity,topic,Perplexity AI|Perplexity Blog,artificial-intelligence,,,,
Hugging Face Blog,hugging-face-blog-huggingface-co-blog-feed-xml,rss_feed,HuggingFace,artificial-intelligence,,https://huggingface.co/blog/feed.xml,Hugging Face Blog,
Runway,runway,topic,Runway ML,ai-video-generation,,,,
AI21 Labs,ai21-labs,topic,AI21,artificial-intelligence,,,,
Inflection AI,inflection-ai,topic,Inflection,artificial-intelligence,,,,
Character.AI,character-ai,topic,Character AI,artificial-intelligence,,,,
Fireworks AI,fireworks-ai,topic,Fireworks,artificial-intelligence,,,,
Modal,modal,topic,Modal Labs,artificial-intelligence,,,,
Replit Blog,replit-blog-blog-replit-com-feed-xml,rss_feed,,ai-coding,,https://blog.replit.com/feed.xml,Replit Blog,
Suno,suno,topic,Suno AI,ai-music-generation,,,,
Udio,udio,topic,Udio AI,ai-music-generation,,,,
Lovable,lovable,topic,Lovable Dev,ai-coding,,,,
Bolt.new,bolt-new,topic,Bolt|StackBlitz Bolt,ai-coding,,,,
Replicate Blog,replicate-blog-replicate-com-blog-rss,rss_feed,,artificial-intelligence,,https://replicate.com/blog/rss,Replicate Blog,
TechCrunch AI,techcrunch-ai,topic,,techcrunch-techcrunch-com-feed|artificial-intelligence,,,,
Ars Technica AI,ars-technica-ai,topic,,ars-technica-feeds-arstechnica-com-arstechnica-index|artificial-intelligence,,,,
MIT Technology Review,mit-technology-review-technologyreview-com-feed,rss_feed,MIT Tech Review,artificial-intelligence,,https://www.technologyreview.com/feed/,MIT Technology Review,
The AI Index,the-ai-index,topic,,artificial-intelligence,,,,
Claude,claude-ai,topic,Claude AI,anthropic,,,,
Cursor,cursor-ai,topic,Cursor AI|Cursor Editor,ai-coding,,,,
