name,slug,topic_type,aliases,parent_slugs,extensions,rss_feed_url,rss_feed_title,notes
Computer Hardware,computer-hardware,topic,Hardware|PC Hardware,,,,,Top-level vertical
Consumer Electronics,consumer-electronics,topic,,computer-hardware,,,,
Semiconductors,semiconductors,topic,Chips|Chipmakers,computer-hardware,,,,
GPUs,gpus,topic,Graphics Cards|Video Cards,computer-hardware,,,,
CPUs,cpus,topic,Processors,computer-hardware,,,,
SSDs,ssds,topic,Solid State Drives,computer-hardware,,,,
RAM,ram,topic,Memory|DRAM,computer-hardware,,,,
Monitors,monitors,topic,Displays,computer-hardware,,,,
Keyboards,keyboards,topic,Mechanical Keyboards,computer-hardware,,,,
Laptops,laptops,topic,Notebook Computers,computer-hardware,,,,
Desktop PCs,desktop-pcs,topic,Desktops|Desktop Computers,computer-hardware,,,,
Tablets,tablets,topic,,consumer-electronics,,,,
Smartwatches,smartwatches,topic,Smart Watches,consumer-electronics,,,,
Headphones,headphones,topic,Earbuds|Earphones,consumer-electronics,,,,
Smart Home,smart-home,topic,Home Automation,consumer-electronics,,,,
Networking,networking-hardware,topic,Routers|Wi-Fi,computer-hardware,,,,
Gaming Hardware,gaming-hardware,topic,Gaming PCs|Gaming Peripherals,computer-hardware,,,,
VR/AR Headsets,vr-ar-headsets,topic,VR Headsets|AR Headsets|Mixed Reality,consumer-electronics,,,,
e-Readers,e-readers,topic,eReaders|E-Readers,consumer-electronics,,,,
Drones,drones,topic,Consumer Drones,consumer-electronics,,,,
Apple Newsroom,apple-newsroom-apple-com-newsroom-rss-feed-rss,rss_feed,,computer-hardware|consumer-electronics,,https://www.apple.com/newsroom/rss-feed.rss,Apple Newsroom,
Apple Silicon,apple-silicon,topic,M-series|M1|M2|M3|M4,apple-newsroom-apple-com-newsroom-rss-feed-rss|semiconductors,,,,
NVIDIA Blog,nvidia-blog-blogs-nvidia-com-feed,rss_feed,NVDA,semiconductors|gpus,,https://blogs.nvidia.com/feed/,NVIDIA Blog,Cross-ref: AI vertical
AMD News Releases,amd-news-releases-ir-amd-com-news-events-press-releases-rss,rss_feed,Advanced Micro Devices,semiconductors|cpus|gpus,,https://ir.amd.com/news-events/press-releases/rss,AMD News Releases,
Intel Newsroom,intel-newsroom-newsroom-intel-com-feed,rss_feed,,semiconductors|cpus,,https://newsroom.intel.com/feed,Intel Newsroom,
TSMC,tsmc,topic,Taiwan Semiconductor,semiconductors,,,,
ARM,arm-holdings,topic,ARM Holdings|Arm,semiconductors,,,,
Broadcom,broadcom,topic,,semiconductors,,,,
Samsung Newsroom,samsung-newsroom-news-samsung-com-global-feed,rss_feed,Samsung Electronics,consumer-electronics,,https://news.samsung.com/global/feed,Samsung Newsroom,
Sony,sony,topic,,consumer-electronics,,,,
Nintendo,nintendo,topic,,consumer-electronics,,,,
Nothing,nothing,topic,Nothing Technology,consumer-electronics,,,,
OnePlus,oneplus,topic,One Plus,consumer-electronics,,,,
Xiaomi,xiaomi,topic,,consumer-electronics,,,,
Valve,valve,topic,Valve Corporation,gaming-hardware,,,,
DJI,dji,topic,,drones,,,,
Dell,dell,topic,Dell Technologies,computer-hardware,,,,
Lenovo,lenovo,topic,,computer-hardware,,,,
HP,hp,topic,Hewlett-Packard,computer-hardware,,,,
ASUS,asus,topic,,computer-hardware,,,,
Razer,razer,topic,,gaming-hardware,,,,
The Verge Hardware,the-verge-hardware,topic,,the-verge-theverge-com-rss-index-xml|computer-hardware,,,,
Tom's Hardware,toms-hardware-tomshardware-com-feeds-xml,rss_feed,,computer-hardware,,https://www.tomshardware.com/feeds.xml,Tom's Hardware,
Ars Technica Hardware,ars-technica-hardware,topic,,ars-technica-feeds-arstechnica-com-arstechnica-index|computer-hardware,,,,
9to5Mac,9to5mac-9to5mac-com-feed,rss_feed,,media-publications,,https://9to5mac.com/feed/,9to5Mac,
MacRumors,macrumors-feeds-macrumors-com-macrumors-all,rss_feed,Mac Rumors,media-publications,,https://feeds.macrumors.com/MacRumors-All,MacRumors,
AppleInsider,appleinsider-appleinsider-com-rss-news,rss_feed,Apple Insider,media-publications,,https://appleinsider.com/rss/news/,AppleInsider,
